model,mesh_div,n_elements,u_load,u_max,vm_probe,vm_p95,vm_max,u_load_pct_vs_fine,vm_p95_pct_vs_fine
model_100,12.0,1365,6.066986,9.954289,47.112107,108.514911,322.096205,2271.2409666337053,139.21505169718938
model_114,15.0,2047,6.322761,10.452678,50.919202,88.612363,301.232246,2371.208917481249,95.34099784733833
model_115,16.0,2189,6.338819,10.454584,50.876274,82.419371,345.771659,2377.4850795561583,81.68889337811677
model_116,17.0,2469,6.372575,10.599214,50.581168,77.938553,319.423725,2390.6783867551017,71.81118072427056
model_101,18.0,5904,0.324493,0.350291,13.28643,56.129342,308.89271,26.82592229253058,23.733994936965146
model_106,21.0,7576,0.323814,0.349217,13.620979,48.291766,302.282652,26.560539676459893,6.456497026833233
model_102,24.0,9422,0.321146,0.346916,14.790186,44.568793,302.684843,25.517769691663695,-1.7505887133213243
model_107,27.0,11766,0.308938,0.345809,13.076178,43.093963,295.67576,20.746354408908097,-5.001768956141273
model_112,29.7,14146,0.311014,0.344875,12.879478,42.10175,291.372912,21.557745146703045,-7.189047016845974
model_103,30.0,22083,0.269903,0.299106,20.892638,43.822207,285.323311,5.489785309762876,-3.396395791266566
model_108,35.0,29676,0.270795,0.299151,21.129239,43.313841,287.959633,5.838417553555309,-4.517060203654039
model_104,40.0,38775,0.274422,0.297796,21.569319,43.27264,288.867827,7.256006284760628,-4.607885503644143
model_109,45.0,66020,0.254366,0.284333,17.782879,44.045985,289.695898,-0.5827473940521541,-2.9030897069193715
model_105,50.0,80664,0.255857,0.283981,17.980835,45.362911,309.640253,0.0,0.0
