Parameter,model_100,model_113,model_114,model_115,model_116,model_101,model_106,model_102,model_107,model_112,model_103,model_108,model_104,model_109,model_105
Description,Conv div=12,Conv div=14,Conv div=15,Conv div=16,Conv div=17,Conv div=18,Conv div=21,Conv div=24,Conv div=27,Conv div=29.7,Conv div=30,Conv div=35,Conv div=40,Conv div=45,Conv div=50
b_geo,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
m_geo,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
n_geo,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
t_geo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
f_geo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
e_geo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i_geo,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
P_load,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
wall_thk,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
mesh_div,12,14,15,16,17,18,21,24,27,29.7,30,35,40,45,50
