model,n_frames,u_load,u_max,rf_total,vm_probe,vm_p95,vm_max,load_dist,probe_dist
model_100,11,6.066986,9.954289,0.000000,47.112107,108.514911,322.096205,6.500000,3.218275
model_101,11,0.324493,0.350291,0.000000,13.286430,56.129342,308.892710,6.000000,1.549689
model_102,11,0.321146,0.346916,0.000000,14.790186,44.568793,302.684843,6.000000,0.715846
model_103,11,0.269903,0.299106,0.000000,20.892638,43.822207,285.323311,6.057593,1.007463
model_104,11,0.274422,0.297796,0.000000,21.569319,43.272640,288.867827,6.057592,1.139381
model_105,11,0.255857,0.283981,0.000000,17.980835,45.362911,309.640253,5.999998,0.445114
model_106,11,0.323814,0.349217,0.000000,13.620979,48.291766,302.282652,6.000000,1.392667
model_107,11,0.308938,0.345809,0.000000,13.076178,43.093963,295.675760,5.999998,1.251821
model_108,11,0.270795,0.299151,0.000000,21.129239,43.313841,287.959633,6.057592,1.073890
model_109,11,0.254366,0.284333,0.000000,17.782879,44.045985,289.695898,5.999998,0.491944
model_112,11,0.311014,0.344875,0.000000,12.879478,42.101750,291.372912,5.999999,1.108677
model_113,0,,,,,,,,
model_114,18,6.322761,10.452678,0.000000,50.919202,88.612363,301.232246,6.500000,3.052314
model_115,18,6.338819,10.454584,0.000000,50.876274,82.419371,345.771659,6.500000,2.808173
model_116,15,6.372575,10.599214,0.000000,50.581168,77.938553,319.423725,6.500000,2.681344
