algorithm,n_train_models,repeat,U1,U2,U3,S_Mises
HGB,25,0,0.0294922985639312,0.1153352275979506,0.0812424684053331,0.5296850719716106
LightGBM,25,0,0.0170989874709555,0.0774241883440275,0.1756742207825317,0.5265568027888801
kNN,25,0,0.0871539469786106,0.0140795007587233,-0.0870677332016069,0.4298853399131855
Ridge_deg3,25,0,0.4028430552142049,0.1742652934979456,0.0101859146038241,0.2395365528362311
MLP,25,0,0.5293491287627523,0.463380312456183,0.3280679895337434,0.4430260337300988
Torch,25,0,0.4157971672984476,0.3362469951494299,0.2210567457196367,0.1845655466195249
Ensemble,25,0,0.4401894203133416,0.3923433378571124,0.3658382454971139,0.5955142235897712
HGB,50,0,0.1479680840948117,0.3975733017381917,0.3458194332657429,0.6552505543681841
LightGBM,50,0,0.1176540715246092,0.1096614631347989,0.3817775818055197,0.6431681258670645
kNN,50,0,0.0917341012111726,0.2787954147180891,0.2238648091928807,0.453922527165184
Ridge_deg3,50,0,0.0742933534384336,0.0383956746645328,-0.3996547507258015,0.1698280580135345
MLP,50,0,0.1986043535665561,0.4779556431401778,0.5185678686422577,0.6144187227192148
Torch,50,0,0.2056766666684615,0.5530398722236909,0.5501602307501787,0.6544723013146858
Ensemble,50,0,0.1832005625891587,0.4899695655055461,0.5335741507024838,0.6987602278514726
HGB,100,0,0.497729435570708,0.5878457548978595,0.605899406211295,0.7620425267381523
LightGBM,100,0,0.483373665671714,0.6162946318891307,0.6271364463182472,0.7808178301383311
kNN,100,0,0.2682116592375209,0.2159233054672817,-0.01642889393211,0.4911295700140332
Ridge_deg3,100,0,0.4161159067259694,0.4569299253518988,0.374812274209661,0.2462914910875155
MLP,100,0,0.6675516443797549,0.6830112027574773,0.6237716677503413,0.694961396703368
Torch,100,0,0.723283298083675,0.5744569947331855,0.6802799155260495,0.6942306451056159
Ensemble,100,0,0.6305328775039815,0.6890182870049462,0.6423402036284716,0.7826086451874242
HGB,200,0,0.3526030523221376,0.5063971412065733,0.7328562685963982,0.7850261601828643
LightGBM,200,0,0.2710221376317974,0.3060172234896485,0.727411319116444,0.8206116014609994
kNN,200,0,0.2293684741505827,0.1945716804458012,-0.0246026376321129,0.5206832220025241
Ridge_deg3,200,0,0.4140954988520179,-0.5276670424962246,-1.1668185032683946,-0.1241344735508724
MLP,200,0,0.5904050328817094,0.7163445828804236,0.7944851911973647,0.7905393529388868
Torch,200,0,0.4376638409920543,0.7223695963352444,0.7783145416494427,0.6245866953441106
Ensemble,200,0,0.5067379947064417,0.6758060296955796,0.8054421849382731,0.8286626230751541
HGB,300,0,0.4467956575095131,0.63667627099541,0.6571028901992055,0.7841254449942674
LightGBM,300,0,0.3852969743933312,0.5319502324151011,0.5288372035680168,0.8346870218999917
kNN,300,0,0.1114102883278368,0.4345841605005502,0.2980078765918532,0.5677867737408031
Ridge_deg3,300,0,0.47626439407091,0.554380446628981,0.4672075918089511,0.3668467902234725
MLP,300,0,0.6732258887886232,0.7917455216699663,0.6987413297273042,0.84333976585959
Torch,300,0,0.655323644496653,0.7591378115520864,0.6606524860928669,0.5565556630927168
Ensemble,300,0,0.6084100255945547,0.758508378545013,0.745961946958152,0.8578157172202807
HGB,424,0,0.5079393827767106,0.5787211480166572,0.7464622913947514,0.8052954890234132
LightGBM,424,0,0.4055315943576218,0.541530038988152,0.7705334977466984,0.85481069525051
kNN,424,0,0.1878889589981717,0.0965833213921647,-0.1663908842373158,0.5113780899290167
Ridge_deg3,424,0,0.4384352616733094,0.5770035935721212,0.4888236052888314,0.390647629791865
MLP,424,0,0.6391155878813011,0.7805349330681798,0.7308332855917163,0.8569934878042185
Torch,424,0,0.5880415084580255,0.7707909766179963,0.6375315701167772,0.6499603486003491
Ensemble,424,0,0.6126789384518232,0.7217787422819859,0.7805960964799634,0.8706812726586923
HGB,25,1,0.1235829067141746,0.2320391022090283,0.0134175629921701,0.5909352314318526
LightGBM,25,1,0.1473692748480659,0.1692903087599785,0.0212674248513909,0.6020685693482957
kNN,25,1,0.0572006482781664,0.1569008167576735,0.4360747458343923,0.4616330715792729
Ridge_deg3,25,1,0.1624447304937157,0.2210187490970115,0.2886363431805836,0.2208893947435731
MLP,25,1,0.1416842755070484,0.2599665633925143,0.3049043938295378,0.5778564701615903
Torch,25,1,0.1224294067527781,0.1824816136074356,0.0583591869992773,0.4979904768899551
Ensemble,25,1,0.1620777070337896,0.303962743574533,0.323197486205206,0.6646122953379905
HGB,50,1,-4.595860417323872,-1.8011941600424417,0.091915755862713,0.7122159363537287
LightGBM,50,1,-4.319243762842968,-1.6448631097590725,0.009728948742681,0.7000761251182797
kNN,50,1,-4.972962471513737,-2.303755790565177,-2.90889438877306,0.4361936378249247
Ridge_deg3,50,1,-31.742611512350365,-7.900745890000495,-12.98287571788866,0.2280459673573933
MLP,50,1,-0.1266274943071428,0.2221897006686869,-1.8669385460937225,0.5447775896838671
Torch,50,1,-0.0768036454262983,0.0832215213485855,-1.8886743166802795,0.6162737000204321
Ensemble,50,1,-0.9927113938547708,-0.1191700163749232,-0.3006573405158397,0.729207359051438
HGB,100,1,-0.4920254716519081,0.4327087240900238,0.1000863589196383,0.7772450441884241
LightGBM,100,1,-0.6010774567239168,0.4948992146455593,0.363945334180982,0.8051577251140721
kNN,100,1,0.1561334111836272,-0.4044154860024151,-0.1650931416806766,0.5443677551833869
Ridge_deg3,100,1,-0.2925230557620644,-0.311836286395686,-0.8778883865931719,0.3072176886731164
MLP,100,1,0.3820124581984996,0.4108672488298392,0.2802511861675049,0.7813493102187639
Torch,100,1,0.4616579188197461,-0.1367802912316587,-0.4333110156071462,0.7589478316101695
Ensemble,100,1,0.197001436999167,0.6235380339165036,0.5704033001620938,0.819857860488094
HGB,200,1,0.4717522346544044,-0.4590858705163207,-0.3826697695634078,0.8104441223268234
LightGBM,200,1,0.2980318992789584,-0.9780084476000253,-1.3786419056176429,0.846320814252759
kNN,200,1,0.4088161942742421,0.4907766500864078,0.2152097603247619,0.6022216941151057
Ridge_deg3,200,1,-0.6069385075464893,-3.641898813186928,-6.715202309846643,0.2480313082441767
MLP,200,1,0.4466498951561574,0.3561437426262847,-0.4572790406463278,0.7933764110896314
Torch,200,1,0.3034844106917636,0.1684434852460148,0.0350491447951399,0.3870571580670269
Ensemble,200,1,0.6117592274507158,0.3320363663681507,-0.2334633784945159,0.8448064579728868
HGB,300,1,0.4471662297965985,0.3023559532223397,-0.256644880022393,0.8057135197164584
LightGBM,300,1,0.3328390998366596,-1.1697234964028271,-0.3511902472477719,0.8574132895265762
kNN,300,1,0.513741599806528,-0.3620896879735338,-1.298355498834693,0.5694949774455339
Ridge_deg3,300,1,-0.1163396991491323,-1.146631036797653,-1.616783397624861,0.3803032290274863
MLP,300,1,0.5979614384552743,0.6066557661482166,0.4923598088608658,0.8463964696044816
Torch,300,1,0.4142763271689065,0.439923958626203,-0.2959670208585017,0.7239596518895505
Ensemble,300,1,0.6102750076287307,0.6137925195111953,0.3132052095141703,0.8648401058350264
HGB,424,1,0.6221390003583962,0.2926205768673873,0.4322282664362045,0.8243745647695289
LightGBM,424,1,0.6581040628429445,0.1759343706403259,0.2797225289844413,0.8747175708440744
kNN,424,1,0.5609740483668427,-0.0794536182918494,-0.6896740109760369,0.5984133646751505
Ridge_deg3,424,1,-0.088917479452099,-0.2063787433597397,-0.8957269914274972,0.3929903068482976
MLP,424,1,0.6563693210946998,0.6367967084274353,0.1564084472709076,0.8898713377929208
Torch,424,1,0.5866455315464671,0.5688199711215232,0.3848963145940633,0.8263389445741729
Ensemble,424,1,0.701155445058048,0.600713285378752,0.4194261717808931,0.8923774384591275
HGB,25,2,-0.2818837447873794,0.0689315997286544,-0.603374805655543,0.5763096276728965
LightGBM,25,2,-0.1527047271548984,-0.017382012632835,-0.4828899127023411,0.5561391098464163
kNN,25,2,-0.3966358085644923,-0.4253331732219774,-0.5459435420941678,0.4413616645773607
Ridge_deg3,25,2,0.1015453830546818,0.0885828638442736,-0.0359114157935207,0.2457611562846609
HGB,50,2,-1.9975074401034092,-1.602014487777732,-0.2148678733471012,0.6473361643944826
LightGBM,50,2,-2.532090554771144,-2.5255139114698517,0.041817860844625,0.6335549103276537
kNN,50,2,0.0589348080937127,0.1425924310609613,0.3585584498706302,0.4880245083998141
Ridge_deg3,50,2,-17.863385626252455,-0.4111114781022846,-0.545885911934312,0.1752644177525987
HGB,100,2,0.459328275060977,0.3795420826184515,0.4047783696111265,0.7370750028743042
LightGBM,100,2,0.3651068912972929,0.3229633339959181,0.3801804105000795,0.7603233956694513
kNN,100,2,0.2791618077903915,0.1764722230124318,0.0134707906451241,0.5854837220479454
Ridge_deg3,100,2,0.2644494082669701,0.2751213186758067,0.2791685904234056,0.3212023383980262
HGB,200,2,0.5018391326280252,-0.1879731136850144,0.4633155504160877,0.7759233814531583
LightGBM,200,2,0.3754234394733586,0.3987643976255426,0.4226442435096879,0.818699619713794
kNN,200,2,0.3524523578353868,0.3457119556026293,0.4154087264177213,0.5635804578358081
Ridge_deg3,200,2,0.4301046505193974,-0.6108673497221784,-0.3622585047887243,0.3376464120159769
HGB,300,2,0.7627240599614813,0.7300024963127301,0.5927513003011605,0.7975884306914939
LightGBM,300,2,0.5662843068209278,0.6572366751073309,0.5567777721094311,0.8388677693454579
kNN,300,2,0.2201939816644219,0.3398526408299793,0.2886068767774,0.5792772635816055
Ridge_deg3,300,2,0.3460004112060344,0.0864252586789454,0.1546128707927596,0.3745488323143914
HGB,424,2,0.7737578477174702,0.1050820566218277,0.4550951662973311,0.8101784015323422
LightGBM,424,2,0.661034432017974,0.1895340962763558,0.3856572554643447,0.8586380730242671
kNN,424,2,0.3508698521951787,0.3888967533147361,0.4446353910050211,0.583443610447522
Ridge_deg3,424,2,0.4404814727766386,0.3061614284183932,0.3699228258006335,0.3861962135410989
RF,25,0,-0.18299076752929055,-0.02014582804574272,0.1626720155285929,0.41074855539512
RF,50,0,0.10096992491568724,0.23255070512985287,0.34221286165039844,0.47631813205096785
RF,100,0,0.5765114219901672,0.5615485559152658,0.5997558120457971,0.651655395417839
RF,200,0,0.22009541606420857,0.5246214601978034,0.6692275274128332,0.7134822218997643
RF,300,0,0.35273977619966557,0.581600982912688,0.5163294176906614,0.6998883373515561
RF,424,0,0.2969603013601726,0.4635852064131444,0.5744549073467033,0.7828527441990821
RF,25,1,0.14951034266826335,0.19580388924540837,0.15123401160769767,0.4583492982964882
RF,50,1,-4.70194473774779,-2.142238002629275,-0.7737889953786183,0.6214156934450208
RF,100,1,-0.3137500276700613,0.19832266525814102,-0.3064305692119196,0.6674686845404272
RF,200,1,-0.3133371504408491,-2.6953235471963812,-2.541242297612034,0.6560541953611816
RF,300,1,-0.24113726490871001,-2.479610915025387,-0.24031471868963195,0.7171088987600327
RF,424,1,0.366322315439911,-2.3551434825600546,0.09232053030080667,0.7844336188339511
RF,25,2,-0.06416047187173435,0.008320858794554686,-0.38151406309536995,0.503405986502788
RF,50,2,-3.084083346910737,-3.2946122781979748,-1.056483536960728,0.4807429967457856
RF,100,2,0.21609268610419907,0.24033716429827823,0.3007943105465227,0.6767617833767781
RF,200,2,0.25560296665215343,0.06612961096920555,-0.4392542566794986,0.698796402307629
RF,300,2,0.39160732193296954,0.5204383819820237,0.4578926743804783,0.7320334802108113
RF,424,2,0.38828089414051725,-0.6275597439909613,-0.24217995047774266,0.770139442882578
