algorithm,timestamp,notes,U1,U2,U3,S_Mises,train_seconds,n_models_snapshot
HGB_baseline_500x0.05,2026-07-18 01:31,baseline settings from pooled_surrogate_normalized.py,0.5978,0.6514,0.6595,0.8107,408.7,415
LightGBM_1500x127,2026-07-18 02:29,"n_estimators=1500, num_leaves=127, lr=0.05, per-target",0.3829,0.6848,0.5494,0.864,3439.5,415
MLP_sklearn_256x256x128,2026-07-18 02:58,"hidden=(256, 256, 128), multi-output, std-scaled X and Y",0.7753,0.8963,0.7944,0.89,6039.8,415
MLP_sklearn_256x256x128,2026-07-18 03:07,"hidden=(256, 256, 128), multi-output, std-scaled X and Y",0.7894,0.9119,0.8051,0.8694,5177.8,415
LightGBM_1500x127,2026-07-18 04:11,"n_estimators=1500, num_leaves=127, lr=0.05, per-target",0.6521,0.6867,0.5457,0.8673,393.2,437
kNN_k10_distance,2026-07-18 04:20,"k=10, distance-weighted, std-scaled features",0.1122,0.3533,0.2052,0.5529,144.5,437
Ridge_poly_deg2,2026-07-18 04:21,"degree=2, alpha=1.0, per-target",0.2622,0.3171,0.3244,0.3197,23.1,437
Ridge_poly_deg3,2026-07-18 04:23,"degree=3, alpha=1.0, per-target",0.4888,0.3185,0.2295,0.3778,136.4,437
MLP_torch_256x256x128,2026-07-18 05:07,"SiLU+AdamW+cosine, group-aware early stop (best epoch 55)",0.7122,0.6101,0.4977,0.8413,2324.9,437
HGB_baseline_500x0.05,2026-07-18 05:18,baseline settings from pooled_surrogate_normalized.py,0.7537,0.7176,0.6473,0.8202,166.8,437
MLP_sklearn_256x256x128,2026-07-18 06:06,"hidden=(256, 256, 128), multi-output, std-scaled X and Y",0.7878,0.7196,0.6308,0.8626,2862.8,437
ENSEMBLE_0.5MLP_0.5HGB,2026-07-18 09:28,mean of MLP(256x256x128) and HGB(500) predictions,0.8053,0.7596,0.7031,0.8845,2937.7
LC_Ensemble,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 2 repeats",0.6569,0.6612,0.6,0.8815,530
LC_HGB,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 3 repeats",0.6346,0.3255,0.5446,0.8133,530
LC_LightGBM,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 3 repeats",0.5749,0.3023,0.4786,0.8627,530
LC_MLP,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 2 repeats",0.6477,0.7087,0.4436,0.8734,530
LC_Ridge_deg3,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 3 repeats",0.2633,0.2256,-0.0123,0.3899,530
LC_Torch,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 2 repeats",0.5873,0.6698,0.5112,0.7381,530
LC_kNN,2026-07-18 21:53,"learning-curve max size (424 train models), mean of 3 repeats",0.3666,0.1353,-0.1371,0.5644,530
RF_normalized_120x16,2026-07-18 23:35,"RandomForest 120 trees, min_leaf=16, max_samples=0.5, per-target",0.297,0.4636,0.5745,0.7829,812.6,530
